,x0,f(x0),Iterações,Tempo,Epsilon,Valor inicial,Distancia,Convergiu
46,-0.1422963540320596,5.231343136458122e-12,4.0,95400.0,1e-09,0.46482332855240915,1.0,1.0
47,-0.8076321438931102,-1.977751296067254e-12,10.0,165900.0,1e-09,0.1873779445859074,1.0,1.0
48,-0.4029424187497743,0.48245027742977686,101.0,831300.0,1e-09,0.09642942332564863,1.0,0.0
49,-3.19453664254272,-2.220446049250313e-16,6.0,109800.0,1e-09,0.7928955623213214,1.0,1.0
50,-0.46426503228023985,-4.827083177616487e-12,5.0,102800.0,1e-09,0.8977410996668936,1.0,1.0
51,-1.4374262579440436,2.199351811782435e-13,14.0,172500.0,1e-09,0.3374586307603308,1.0,1.0
52,-1.4434081458237262,-1.1102230246251565e-16,14.0,171800.0,1e-09,0.6470679544091741,1.0,1.0
53,-4.784459971023897,1.5413226250871048e-12,17.0,195200.0,1e-09,0.5867477043632728,1.0,1.0
54,-0.7789914801731189,-5.432321259490891e-13,6.0,110200.0,1e-09,0.9651626088553165,1.0,1.0
55,-0.9354832866982998,-1.1102230246251565e-16,8.0,125400.0,1e-09,0.3611911142056542,1.0,1.0
56,-1.3643089375034056,8.812461871343658e-11,5.0,101700.0,1e-09,0.6758937237795144,1.0,1.0
57,-0.08113389944355048,0.0,5.0,102600.0,1e-09,0.9624157381407684,1.0,1.0
58,-1.0480515562029413,2.220446049250313e-16,5.0,101800.0,1e-09,0.9159639439831749,1.0,1.0
59,-0.40200438609949496,-6.757372439381015e-13,5.0,102800.0,1e-09,0.907201751239438,1.0,1.0
60,-7.540162396852806,-1.1102230246251565e-16,47.0,422700.0,1e-09,0.5691552828659828,1.0,1.0
61,-0.6426103222614042,-3.1146474288590298e-12,6.0,113400.0,1e-09,0.6251596992083577,1.0,1.0
62,-1.0222943958680126,-1.3913503682516648e-10,4.0,116200.0,1e-09,0.5610869360231248,1.0,1.0
63,-2.1391019918378062,-1.0325074129013956e-14,8.0,126900.0,1e-09,0.8191382203267401,1.0,1.0
64,-1.4740096088883154,-1.999511667349907e-13,8.0,126300.0,1e-09,0.210390501632143,1.0,1.0
65,-0.13508157349420907,-4.4825254619240695e-15,5.0,102300.0,1e-09,0.9569481946989492,1.0,1.0
66,-8.675084304001572,3.3306690738754696e-16,16.0,232500.0,1e-09,0.2502855856420927,1.0,1.0
67,-0.8880563640147928,-2.673194998692452e-12,9.0,135200.0,1e-09,0.9099283744033276,1.0,1.0
68,-2.0902902409767092,1.2783041292152575e-10,8.0,127300.0,1e-09,0.18279988662487368,1.0,1.0
69,-0.001824376014817471,3.885302886710851e-12,4.0,94700.0,1e-09,0.8922979473041653,1.0,1.0
70,-1.7087717342112494,1.0153433649406907e-11,5.0,101200.0,1e-09,0.435598404314255,1.0,1.0
71,-0.024621113997324452,0.0,4.0,94400.0,1e-09,0.30126901462349676,1.0,1.0
72,-2.051481975924358,-1.6348350451167448e-10,16.0,186200.0,1e-09,0.3982135057998547,1.0,1.0
73,-2.9084573014821227,5.551115123125783e-16,16.0,186600.0,1e-09,0.9724289878753355,1.0,1.0
74,-1.009260529040244,-1.6653345369377348e-16,7.0,117200.0,1e-09,0.10566879366999349,1.0,1.0
75,-0.6512161444000882,0.0,4.0,94900.0,1e-09,0.4983368310056412,1.0,1.0
76,-0.4465670466930911,-5.743799880164602e-11,4.0,94700.0,1e-09,0.35583735532324845,1.0,1.0
